الآداب  واللغات والمراحل التحضيرية الأدبية
الآداب  واللغات والمراحل التحضيرية الأدبية,,,,,
2025,2024,2023,الباكالوريا,المؤسسة/الجامعة,الشعبة
104.8799,107.0725,121.8075,علوم تجريبية,,
82.9968,84.9975,79.0751,إقتصاد وتصرف,,
76.6882,76.1526,0,العلوم التقنية,,
101.0725,0,0,علوم الإعلامية,,
90.08,0,0,رياضة,,
76.921,75.5009,75.6552,آداب,"جامعة منوبةكلية الآداب  والفنون والإنسانيات  بمنوبة",المرحلة التحضيرية للغات والآداب:فرنسية11191
113.4668,109.5774,134.5025,رياضيات,,
130.9275,124.4725,124.7159,علوم تجريبية,,
94.6975,96.4915,92.4518,إقتصاد وتصرف,,
0,104.3425,112.2975,العلوم التقنية,,
89.6293,0,0,علوم الإعلامية,,
94.1925,0,0,رياضة,,
119.175,123.8275,126.755,آداب,"جامعة منوبةكلية الآداب  والفنون والإنسانيات  بمنوبة",المرحلة التحضيرية للغات والآداب:انقليزية11192
120.3057,120.275,124.6275,رياضيات,,
115.635,138.0575,130.0125,علوم تجريبية,,
97.9816,111.1776,90.2275,إقتصاد وتصرف,,
78.8791,129.6,113.075,العلوم التقنية,,
107.72,113.446,142.95,علوم الإعلامية,,
131.1475,106.035,121.085,رياضة,,
الآداب  واللغات والمراحل التحضيرية الأدبية
الآداب  واللغات والمراحل التحضيرية الأدبية,,,,,
2025,2024,2023,الباكالوريا,المؤسسة/الجامعة,الشعبة
97.7378,98.4972,92.5623,آداب,"جامعة تونس المنارالمعهد العالي للعلوم الإنسانية  بتونس",الإجازة  في العربية12101
0,0,0,رياضيات,,
117.9408,124.0291,102.8056,علوم تجريبية,,
91.9647,96.7602,85.7934,إقتصاد وتصرف,,
120.9368,104.0736,113.4896,علوم الإعلامية,,
126.99,130.895,128.3091,آداب,"جامعة تونس المنارالمعهد العالي للعلوم الإنسانية  بتونس",الإجازة  في الإنقليزية12102
121.635,150.785,136.2913,رياضيات,,
167.29,148.409,159.3872,علوم تجريبية,,
106.7416,119.3211,115.1072,إقتصاد وتصرف,,
148.7835,124.24,120.785,العلوم التقنية,,
149.2222,120.992,138.0996,علوم الإعلامية,,
172.2807,166.904,177.8501,رياضة,,
69.475,67.5734,70.2231,آداب,"جامعة تونس المنارالمعهد العالي للعلوم الإنسانية  بتونس",الإجازة  في الفرنسية12103
0,0,0,رياضيات,,
139.17,126.9074,124.3982,علوم تجريبية,,
76.2433,75.2017,82.1703,إقتصاد وتصرف,,
104.4052,101.5982,110.4847,العلوم التقنية,,
122.8788,113.2381,102.3027,علوم الإعلامية,,
102.585,0,145.0867,رياضة,,
86.4808,96.4801,82.7574,آداب,"جامعة  قرطاجالمعهد العالي للغات بتونس",الإجازة  في الإسبانية12104
0,145.8731,0,رياضيات,,
124.2591,126.581,135.9114,علوم تجريبية,,
94.4436,92.6234,95.705,إقتصاد وتصرف,,
124.9795,112.3286,119.7973,العلوم التقنية,,
0,132.6747,134.4776,علوم الإعلامية,,
0,0,0,رياضة,,
الآداب  واللغات والمراحل التحضيرية الأدبية
الآداب  واللغات والمراحل التحضيرية الأدبية,,,,,
2025,2024,2023,الباكالوريا,المؤسسة/الجامعة,الشعبة
89.5281,86.7249,101.37,آداب,"جامعة  قرطاجالمعهد العالي للغات بتونس",الإجازة  في الإيطالية12105
0,0,0,رياضيات,,
126.3563,124.5247,136.5481,علوم تجريبية,,
99.9701,98.3651,94.0702,إقتصاد وتصرف,,
93.2036,0,120.8084,العلوم التقنية,,
109.017,105.3164,94.6362,علوم الإعلامية,,
0,0,0,رياضة,,
86.3652,86.8801,102.7789,آداب,"جامعة  قرطاجالمعهد العالي للغات بتونس",الإجازة  في الألمانية12106
146.1888,118.0637,119.0168,رياضيات,,
137.7037,103.1002,161.3828,علوم تجريبية,,
86.7307,84.185,84.75,إقتصاد وتصرف,,
94.0263,137.4415,135.82,العلوم التقنية,,
105.7199,95.9362,139.3622,علوم الإعلامية,,
0,0,0,رياضة,,
94.9628,92.6133,92.2465,آداب,"جامعة  قرطاجالمعهد العالي للغات بتونس",الإجازة  في العربية13101
0,0,0,رياضيات,,
88.5384,119.7705,112.8422,علوم تجريبية,,
82.6915,93.6588,84.9917,إقتصاد وتصرف,,
111.906,93.1648,0,علوم الإعلامية,,
99.4633,115.346,109.135,آداب,"جامعة  قرطاجالمعهد العالي للغات بتونس",الإجازة  في الإنقليزية13102
0,151.8972,148.3074,رياضيات,,
128.1895,143.5994,181.6914,علوم تجريبية,,
71.3367,111.9648,92.9885,إقتصاد وتصرف,,
106.9786,164.5767,142.1656,العلوم التقنية,,
134.162,122.4134,152.047,علوم الإعلامية,,
142.6364,139.2766,180.3164,رياضة,,
الآداب  واللغات والمراحل التحضيرية الأدبية
الآداب  واللغات والمراحل التحضيرية الأدبية,,,,,
2025,2024,2023,الباكالوريا,المؤسسة/الجامعة,الشعبة
73.5198,71.055,71.3568,آداب,"جامعة  قرطاجالمعهد العالي للغات بتونس",الإجازة  في الفرنسية13103
110.1185,125.1205,119.6474,رياضيات,,
81.3102,144.5677,142.3207,علوم تجريبية,,
79.2968,84.7517,84.9741,إقتصاد وتصرف,,
93.2483,134.6007,99.965,العلوم التقنية,,
104.2338,102.03,101.055,علوم الإعلامية,,
111.371,91.68,0,رياضة,,
99.8364,99.9365,98.7931,آداب,"جامعة  قرطاجالمعهد العالي للغات بنابل",الإجازة  في العربية22101
0,0,0,رياضيات,,
111.515,109.6033,116.507,علوم تجريبية,,
90.7852,88.445,84.6582,إقتصاد وتصرف,,
86.915,107.0287,107.2432,علوم الإعلامية,,
104.974,108.905,106.6255,آداب,"جامعة  قرطاجالمعهد العالي للغات بنابل",الإجازة  في الإنقليزية22102
0,121.33,120.1234,رياضيات,,
136.7781,132.995,138.6667,علوم تجريبية,,
86.8669,94.3016,94.4703,إقتصاد وتصرف,,
108.6452,124.185,117.13,العلوم التقنية,,
119.4744,136.3555,129.0046,علوم الإعلامية,,
131.1,157.49,115.35,رياضة,,
67.82,74.1566,68.3999,آداب,"جامعة  قرطاجالمعهد العالي للغات بنابل",الإجازة  في الفرنسية22103
0,0,0,رياضيات,,
120.8015,117.2166,124.3073,علوم تجريبية,,
70.1198,73.4365,76.9313,إقتصاد وتصرف,,
94.4684,97.415,100.1435,العلوم التقنية,,
109.4987,103.345,99.595,علوم الإعلامية,,
105.28,83.2702,97.67,رياضة,,
الآداب  واللغات والمراحل التحضيرية الأدبية
الآداب  واللغات والمراحل التحضيرية الأدبية,,,,,
2025,2024,2023,الباكالوريا,المؤسسة/الجامعة,الشعبة
90.59,102.4251,102.7149,آداب,"جامعة  قرطاجالمعهد العالي للغات بنابل",الإجازة  في الإيطالية22105
0,0,0,رياضيات,,
121.5881,128.8334,118.6202,علوم تجريبية,,
101.8983,104.2716,86.0999,إقتصاد وتصرف,,
119.0644,113.115,109.5215,العلوم التقنية,,
114.7023,0,117.05,علوم الإعلامية,,
0,0,0,رياضة,,
99.065,100.2376,99.4298,آداب,"جامعة سوسةكلية الآداب  والعلوم الإنسانية  بسوسة",الإجازة  في العربية30101
0,108.2894,100.3267,رياضيات,,
118.025,101.9443,121.7446,علوم تجريبية,,
86.7254,78.8534,86.9463,إقتصاد وتصرف,,
116.625,134.2797,0,علوم الإعلامية,,
106.6505,113.5163,107.905,آداب,"جامعة سوسةكلية الآداب  والعلوم الإنسانية  بسوسة",الإجازة  في الإنقليزية30102
0,117.8515,124.74,رياضيات,,
144.7443,144.7924,151.2124,علوم تجريبية,,
84.9485,91.43,67.9636,إقتصاد وتصرف,,
114.155,129.6519,144.006,العلوم التقنية,,
125.28,126.615,128.935,علوم الإعلامية,,
160.015,144.2842,179.8724,رياضة,,
