عدد;الرمز;اسم الشهادة بالعربية;المجال;nom certificat en français;مدة الدراسة;التخصصات;نوع البكالوريا;التنفيل الجغرافي;تتطلب اختبارات;لها شروط خاصة;المؤسسة;الجامعة;الولاية;صيغة مجموع النقاط;تفسير صيغة مجموع النقاط;الآفاق الجامعية;الآفاق المهنية;score2019;score2020;score2021;score2022;score2023;score2024;score2025
1592;36391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;التصرف الصناعي;العلوم التقنية;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بالمهدية;الإدارة العامة للدراسات التكنولوجية;المهدية;FG+M;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;126.02;125.06;142.33;115.49;129.24;146.93;129.52
1593;36391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;التصرف الصناعي;علوم الإعلامية;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بالمهدية;الإدارة العامة للدراسات التكنولوجية;المهدية;FG+M;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;93.54;97.21;102.95;102.45;121.29;119.8;117.5
1594;40391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;التصرف الصناعي+النقل والخدمات اللوجستية+التصرف في الجودة، والصحة، والسلامة، والمحيط+إدارة الأعمال;رياضيات;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بصفاقس;الإدارة العامة للدراسات التكنولوجية;صفاقس;FG+M;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;105.2;94.54;117.57;126.92;122.1;123.83;89.38
1595;40391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;التصرف الصناعي+النقل والخدمات اللوجستية+التصرف في الجودة، والصحة، والسلامة، والمحيط+إدارة الأعمال;علوم تجريبية;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بصفاقس;الإدارة العامة للدراسات التكنولوجية;صفاقس;FG+M;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;115.83;111.6;124.54;132.05;121.51;121.98;113.47
1596;40391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;التصرف الصناعي+النقل والخدمات اللوجستية+التصرف في الجودة، والصحة، والسلامة، والمحيط+إدارة الأعمال;اقتصاد وتصرف;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بصفاقس;الإدارة العامة للدراسات التكنولوجية;صفاقس;FG+(M+GEST)/2;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;96.43;91.11;98.01;100.28;96.53;107.76;101.47
1597;40391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;التصرف الصناعي+النقل والخدمات اللوجستية+التصرف في الجودة، والصحة، والسلامة، والمحيط+إدارة الأعمال;العلوم التقنية;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بصفاقس;الإدارة العامة للدراسات التكنولوجية;صفاقس;FG+M;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;118.96;121.84;139.98;132.96;148.07;152.42;121.95
1598;40391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;التصرف الصناعي+النقل والخدمات اللوجستية+التصرف في الجودة، والصحة، والسلامة، والمحيط+إدارة الأعمال;علوم الإعلامية;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بصفاقس;الإدارة العامة للدراسات التكنولوجية;صفاقس;FG+M;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;90.38;116.36;116.64;117.85;107.51;100.54;118.53
1599;54391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;إدارة الأعمال;رياضيات;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بجربة;الإدارة العامة للدراسات التكنولوجية;مدنين;FG+M;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;100.94;99.05;100.5;108.34;109.89;149.75;0
1600;54391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;إدارة الأعمال;علوم تجريبية;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بجربة;الإدارة العامة للدراسات التكنولوجية;مدنين;FG+M;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;118.74;95.81;123.75;123.64;121.36;117.81;112.22
1601;54391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;إدارة الأعمال;اقتصاد وتصرف;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بجربة;الإدارة العامة للدراسات التكنولوجية;مدنين;FG+(M+GEST)/2;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;108.02;88.49;106.11;105.71;93.03;104.37;103.46
1602;54391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;إدارة الأعمال;العلوم التقنية;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بجربة;الإدارة العامة للدراسات التكنولوجية;مدنين;FG+M;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;84.61;112.4;109.78;105.5;117.38;128.03;112.57
1603;54391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;إدارة الأعمال;علوم الإعلامية;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بجربة;الإدارة العامة للدراسات التكنولوجية;مدنين;FG+M;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;95.52;0;138.38;130.21;134.11;116.67;112.56
1604;55391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;إدارة الأعمال;رياضيات;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بمدنين;الإدارة العامة للدراسات التكنولوجية;مدنين;FG+M;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;94.17;0;134.15;127.94;105.67;0;113.59
1605;55391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;إدارة الأعمال;علوم تجريبية;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بمدنين;الإدارة العامة للدراسات التكنولوجية;مدنين;FG+M;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;88.36;101.11;110.07;120.2;94.3;118.48;113.58
1606;55391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;إدارة الأعمال;اقتصاد وتصرف;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بمدنين;الإدارة العامة للدراسات التكنولوجية;مدنين;FG+(M+GEST)/2;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;82.09;82.61;72.32;74.18;72.49;73.18;90.33
1607;55391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;إدارة الأعمال;العلوم التقنية;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بمدنين;الإدارة العامة للدراسات التكنولوجية;مدنين;FG+M;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;102.96;112.63;120.64;98.09;111.28;100.72;97.33
1608;55391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;إدارة الأعمال;علوم الإعلامية;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بمدنين;الإدارة العامة للدراسات التكنولوجية;مدنين;FG+M;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;0;90.99;94.51;91.79;104.23;105.12;89.68
1609;56391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;إدارة الأعمال;رياضيات;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بقبلي;الإدارة العامة للدراسات التكنولوجية;قبلي;FG+M;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;0;94.73;102.74;105.12;100.9;0;0
1610;56391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;إدارة الأعمال;علوم تجريبية;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بقبلي;الإدارة العامة للدراسات التكنولوجية;قبلي;FG+M;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;86.06;85.88;105.29;103.05;88.48;95.45;95.58
1611;56391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;إدارة الأعمال;اقتصاد وتصرف;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بقبلي;الإدارة العامة للدراسات التكنولوجية;قبلي;FG+(M+GEST)/2;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;70.67;78.16;76.6;73.8;67.4;73.98;66.46
1612;56391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;إدارة الأعمال;العلوم التقنية;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بقبلي;الإدارة العامة للدراسات التكنولوجية;قبلي;FG+M;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;97.67;101.2;97.16;102.91;96.2;93.44;96.8
1613;56391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;إدارة الأعمال;علوم الإعلامية;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بقبلي;الإدارة العامة للدراسات التكنولوجية;قبلي;FG+M;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;0;0;92.83;0;87.72;88.92;85.8
1614;60391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;إدارة الأعمال-التصرف الصناعي;رياضيات;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بقفصة;الإدارة العامة للدراسات التكنولوجية;قفصة;FG+M;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;81.94;108.42;88.9;102.7;100.32;118.49;0
1615;60391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;إدارة الأعمال-التصرف الصناعي;علوم تجريبية;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بقفصة;الإدارة العامة للدراسات التكنولوجية;قفصة;FG+M;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;104.9;109.83;116.65;109.12;101.6;108.46;112.7
1616;60391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;إدارة الأعمال-التصرف الصناعي;اقتصاد وتصرف;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بقفصة;الإدارة العامة للدراسات التكنولوجية;قفصة;FG+(M+GEST)/2;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;80.38;65.99;72.42;69.09;72.8;66;89.77
1617;60391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;إدارة الأعمال-التصرف الصناعي;العلوم التقنية;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بقفصة;الإدارة العامة للدراسات التكنولوجية;قفصة;FG+M;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;117.74;111.52;132.18;108.17;91.43;115.23;96
1618;60391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;إدارة الأعمال-التصرف الصناعي;علوم الإعلامية;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بقفصة;الإدارة العامة للدراسات التكنولوجية;قفصة;FG+M;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;0;99.38;127.09;103.28;100.59;98.89;91.71
1619;70391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;التصرف الصناعي;رياضيات;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بالقيروان;الإدارة العامة للدراسات التكنولوجية;القيروان;FG+M;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;98.46;0;81.89;105.28;115.57;0;0
1620;70391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;التصرف الصناعي;علوم تجريبية;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بالقيروان;الإدارة العامة للدراسات التكنولوجية;القيروان;FG+M;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;89.12;101.38;98.64;130.44;108.48;110.36;104.7
1621;70391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;التصرف الصناعي;اقتصاد وتصرف;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بالقيروان;الإدارة العامة للدراسات التكنولوجية;القيروان;FG+(M+GEST)/2;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;76.51;87.92;81.43;87.51;91.6;96.66;94.66
1622;70391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;التصرف الصناعي;العلوم التقنية;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بالقيروان;الإدارة العامة للدراسات التكنولوجية;القيروان;FG+M;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;106.22;96.01;99.97;97.34;108.88;116.11;107.6
1623;70391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;التصرف الصناعي;علوم الإعلامية;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بالقيروان;الإدارة العامة للدراسات التكنولوجية;القيروان;FG+M;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;93.54;86.66;88.15;108.82;84.94;98.97;99.7
1624;73391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;إدارة الأعمال;رياضيات;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بالقصرين;الإدارة العامة للدراسات التكنولوجية;القصرين;FG+M;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;0;0;97.12;116.92;0;0;104.36
1625;73391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;إدارة الأعمال;علوم تجريبية;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بالقصرين;الإدارة العامة للدراسات التكنولوجية;القصرين;FG+M;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;97.77;89.1;111.52;91.03;97.29;122.54;122.15
1626;73391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;إدارة الأعمال;اقتصاد وتصرف;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بالقصرين;الإدارة العامة للدراسات التكنولوجية;القصرين;FG+(M+GEST)/2;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;79.17;91.38;83.57;79.12;78.52;87.91;93.92
1627;73391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;إدارة الأعمال;العلوم التقنية;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بالقصرين;الإدارة العامة للدراسات التكنولوجية;القصرين;FG+M;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;115.52;135.3;105.78;95.55;80.01;106.89;105.25
1628;73391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;إدارة الأعمال;علوم الإعلامية;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بالقصرين;الإدارة العامة للدراسات التكنولوجية;القصرين;FG+M;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;0;116.85;81.43;102.61;120.23;112.55;111.28
1629;82391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;إدارة الأعمال-التصرف الصناعي;رياضيات;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بالكاف;الإدارة العامة للدراسات التكنولوجية;الكاف;FG+M;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;98.06;96.15;104.68;106.39;113.35;106.87;0
1630;82391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;إدارة الأعمال-التصرف الصناعي;علوم تجريبية;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بالكاف;الإدارة العامة للدراسات التكنولوجية;الكاف;FG+M;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;108.05;99.53;114.54;117.4;119.87;116.37;120.51
1631;82391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;إدارة الأعمال-التصرف الصناعي;اقتصاد وتصرف;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بالكاف;الإدارة العامة للدراسات التكنولوجية;الكاف;FG+(M+GEST)/2;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;91.29;84.21;87.76;88.38;99.67;104.01;100
1632;82391;الإجازة في إدارة الأعمال;العلوم الاقتصادية وعلوم التصرف;Licence en Administration des Affaires;03 سنوات;إدارة الأعمال-التصرف الصناعي;العلوم التقنية;نعم;لا;لا;المعهد العالي للدراسات التكنولوجية بالكاف;الإدارة العامة للدراسات التكنولوجية;الكاف;FG+M;;ماجستير مهني;موظّف محاسبة/ مساعد إدارة/ مدير مكتب/ مساعد إدارة الموارد البشريّة/ موظّف محاسبة في وحدة سياحيّة/ مدير أعمال تجاريّة/ مدير نقطة سياحيّة للبيع/ مصمّم منتوج سياحيّ/ الانتصاب للحساب الخاصّ;0;103.67;116.94;106.97;103.73;131.36;105.15
