عدد;الرمز;اسم الشهادة بالعربية;المجال;nom certificat en français;مدة الدراسة;التخصصات;نوع البكالوريا;التنفيل الجغرافي;تتطلب اختبارات;لها شروط خاصة;المؤسسة;الجامعة;الولاية;صيغة مجموع النقاط;تفسير صيغة مجموع النقاط;الآفاق الجامعية;الآفاق المهنية;score2019;score2020;score2021;score2022;score2023;score2024;score2025
24;22101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;اقتصاد وتصرف;نعم;لا;لا;المعهد العالي للغات بنابل;جامعة قرطاج;نابل;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;97.18;81.78;91.48;89.29;84.65;88.44;90.78
25;22101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;علوم الإعلامية;نعم;لا;لا;المعهد العالي للغات بنابل;جامعة قرطاج;نابل;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;0;0;122.08;96.34;107.24;107.02;86.91
26;30101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;آداب;نعم;لا;لا;كلية الآداب والعلوم الإنسانية بسوسة;جامعة سوسة;سوسة;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;104.51;102.61;106.57;98.55;99.42;100.23;99.06
27;30101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;رياضيات;نعم;لا;لا;كلية الآداب والعلوم الإنسانية بسوسة;جامعة سوسة;سوسة;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;0;82.19;87;0;100.32;108.28;0
28;30101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;علوم تجريبية;نعم;لا;لا;كلية الآداب والعلوم الإنسانية بسوسة;جامعة سوسة;سوسة;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;116.2;122.56;89.98;111.6;121.74;101.94;118.02
29;30101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;اقتصاد وتصرف;نعم;لا;لا;كلية الآداب والعلوم الإنسانية بسوسة;جامعة سوسة;سوسة;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;84.73;74.96;77.01;94.61;86.94;78.85;86.72
30;30101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;علوم الإعلامية;نعم;لا;لا;كلية الآداب والعلوم الإنسانية بسوسة;جامعة سوسة;سوسة;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;0;0;0;0;0;134.27;0
31;40101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;آداب;نعم;لا;لا;كلية الآداب والعلوم الإنسانية بصفاقس;جامعة صفاقس;صفاقس;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;88.34;93.47;96.11;90.37;89.94;92.43;93.5
32;40101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;رياضيات;نعم;لا;لا;كلية الآداب والعلوم الإنسانية بصفاقس;جامعة صفاقس;صفاقس;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;0;0;100.51;0;0;0;0
33;40101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;علوم تجريبية;نعم;لا;لا;كلية الآداب والعلوم الإنسانية بصفاقس;جامعة صفاقس;صفاقس;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;109.32;102.1;102.78;100.44;112.77;120;100.84
